id,date,meal,price,is_vegetarian
2,2020-02-06,Sojasgeschnetzeltes mit rotem Zwiebelgemüse und Süßkartoffelpüree,2.1,1
3,2020-02-06,"Chili con Carne mit Paprika, Rindermett, Mais und Chilibohnen auf Kräuterreis",2.1,0
4,2020-02-06,Ratsherrengeschnetzeltes mit Buttererbsengemüse und Mandel-Kartoffelbällchen,3.1,0
5,2020-02-06,"Tortelloni """"""""Ricotta"""""""" in Tomaten-Basilikumsoße",2.1,0
6,2020-02-06,Putenschnitzel mit Paprika-Maisgemüse und Pommes frites,2.7,0
7,2020-02-06,Puten-Gulaschsuppe,1.3,0
8,2020-02-06,Minestrone,0.5,1
207,2020-02-07,"Tomaten-Cremesuppe, 2 hausgemachte Eierkuchen mit Apfelmus, Zimt-Zucker und Sahnedip",1.6,1
208,2020-02-07,"Jagdwurstschnitzel mit Tomatensoße, Bio-Spirelli und Weißkohlsalat",2.1,0
209,2020-02-07,"Hähnchenbrust """"""""Chicken Tikka Massala"""""""" mit Basmatireis",2.4,0
210,2020-02-07,"Brokkoli-Nussecke mit Quarkdip und Pommes frites, dazu Kopfsalat",2.1,1
211,2020-02-07,Wildschweingulasch mit Waldpilzen und Preiselbeersahne auf Eierspätzle,3.6,1
322,2020-02-07,Rote Zwiebel-Cremesuppe,0.5,1
341,2020-02-07,Bunte Karotten-Suppe,0.5,1
592,2020-03-05,Pasta mit Thunfisch-Zucchinisauce,1.6,0
593,2020-03-05,Bio-Spirelli mit Bolognesesoße und Reibekäse,1.85,0
594,2020-03-05,Thüringer Bratwurst mit Sauerkraut und Kartoffelpüree,3.1,0
595,2020-03-05,Mediterranes Sojageschnetzeltes mit Reiskorn-Nudeln,1.6,1
596,2020-03-05,"Putensteak in Senf-Sahnesoße, Brokkoligemüse, Pommes Twister",3.6,0
597,2020-03-05,Minestrone,0.5,1
598,2020-03-05,Rindfleischsuppe,1.3,0
599,2020-03-05,Kartoffelsuppe,0.9,0
624,2020-03-05,Puten-Leberragout in Rotweinsoße mit Katoffelpürree,1.6,0
743,2020-03-06,Kräuter-Radieschen-Quark mit Butter oder Olivenoel und Petersilienkartoffeln,1.6,1
744,2020-03-06,"Gefüllte Paprikaschote mit Tomatensoße und Kräuterreis, dazu Gurkensalat",1.85,0
745,2020-03-06,"Paniertes Schollenfilet mit Salsa-Dip, Buttererbsen und Pommes frites",3.1,0
746,2020-03-06,"Rote Linsen mit Kokos-Curry  , dazu einen Soja-Bananen-Shake",1.6,1
747,2020-03-06,Deftiges Bauernfrühstück mit frischer Brühgurke,2.7,0
809,2020-03-06,Karotten-Ingwersuppe,0.5,1
810,2020-03-06,Broccolicremesuppe,0.5,1
950,2020-03-09,"Spaghetti mit Bolognese von roten Linsen, gerne auch als vegane Variante",1.6,0
951,2020-03-09,"Schweinegulasch mit Sauerkraut, dazu Petersilienkartoffeln",2.7,0
952,2020-03-09,Texaspfanne: geschmorte Rindfleischstreifen mit Gemüse und Country Potatoes,2.4,0
953,2020-03-09,Hirtenkäse gebacken auf feurigem Gemüseratatouille an Risoleekartoffeln,2.7,1
954,2020-03-09,"Hähnchenbrust mit Bohnen-Mais-Gemüse in scharfer Barbecuesoße, dazu Kartoffelecken",2.4,0
955,2020-03-09,Koreanische Hähnchen-Gemüsesuppe,1.3,0
956,2020-03-09,Käsesuppe,0.5,1
1018,2020-03-09,Bolognesesuppe,0.9,0
1019,2020-03-09,Süßkartoffelsuppe,1.3,1
1085,2020-03-10,"Hackfleischfrikadelle mit Quarkdip, Balkangemüse und Pommes Crinkle",2.1,0
1086,2020-03-10,"Schweinegeschnetzeltes mit grünem Pfeffer, Mandelbrokkoli und Spätzle",2.4,0
1087,2020-03-10,Soja-Gemüsesuppe,1.3,1
1088,2020-03-10,Gulaschsuppe,1.3,0
1093,2020-03-10,Farfalle mit Tomaten-Paprikasoße,1.6,1
1102,2020-03-10,Kartoffelsuppe mit Bockwurstscheibe,0.9,0
1103,2020-03-10,Karotten-Ingwersuppe,0.5,1
1107,2020-03-10,"Bratkartoffeln """"""""Jäger Art"""""""" mit Jagdwurst und Champignon-Lauchzwiebeln dazu Salat",2.7,0
1109,2020-03-10,Gebackener Zander mit Knoblauch und Sojasoße an Schopskasalat mit Schafskäse und Kräuterbaguette,4.9,0
1110,2020-03-10,Tortellini Formaggio mit Tomaten-Paprikasoße,2.1,1
1248,2020-03-11,"Bratkartoffeln """"""""Jäger Art"""""""" mit Jagdwurst und Champignon-Lauchzwiebeln dazu Salat",2.7,0
1249,2020-03-11,"Hackfleischfrikadelle mit Quarkdip, Balkangemüse und Pommes Crinkle",1.85,0
1250,2020-03-11,Gebackener Zander mit Knoblauch und Sojasoße an Schopskasalat mit Schafskäse und Kräuterbaguette,4.9,0
1251,2020-03-11,Tortellini Formaggio mit Tomaten-Paprikasoße,2.1,1
1252,2020-03-11,Farfalle mit Tomaten-Paprikasoße,1.6,1
1253,2020-03-11,"Schweinegeschnetzeltes mit grünem Pfeffer, Mandelbrokkoli und Spätzle",2.4,0
1254,2020-03-11,Kartoffelsuppe mit Bockwurstscheibe,0.9,0
1255,2020-03-11,Karotten-Ingwersuppe,0.5,1
1258,2020-03-11,Pennenudeln mit Bohnen-Tomaten-Ragout,1.6,1
1259,2020-03-11,"Rostbrätel """"""""Thüringer Art"""""""" mit Kräuterzwiebeln, Kartoffelsalat und Salatbeilage",3.1,0
1260,2020-03-11,Hähnchenbrust in Knusperpanade mit bunten Gemüse und Pommes frites,2.7,0
1261,2020-03-11,Kartoffel-Lauchgratin mit Tomaten und Blauschimmelkäse überbacken,2.4,1
1262,2020-03-11,"Rinderhacksteak gefüllt mit Hirtenkäse, dazu Letschogemüse und Pommes frites",2.7,0
1263,2020-03-11,Rindfleisch-Gemüsesuppe,1.3,0
1264,2020-03-11,ungarischer Sojatopf,1.3,1
1342,2020-03-11,Gemüsebrühe mit Einlage,0.9,0
1343,2020-03-11,mediterane Tomatensuppe,0.5,1
1463,2020-03-12,Pennenudeln mit Bohnen-Tomaten-Ragout,1.6,1
1464,2020-03-12,"Rostbrätel """"""""Thüringer Art"""""""" mit Kräuterzwiebeln, Kartoffelsalat und Salatbeilage",3.6,0
1465,2020-03-12,Hähnchenbrust in Knusperpanade mit bunten Gemüse und Pommes frites,2.7,0
1466,2020-03-12,Kartoffel-Lauchgratin mit Tomaten und Blauschimmelkäse überbacken,2.4,1
1467,2020-03-12,"Rinderhacksteak gefüllt mit Hirtenkäse, dazu Letschogemüse und Pommes frites",3.1,0
1468,2020-03-12,Gemüsebrühe mit Einlage,0.9,0
1469,2020-03-12,mediterane Tomatensuppe,0.5,1
1472,2020-03-12,Süßkartoffel-Kokos-Soja-Curry mit Tomatenbulgur,1.6,1
1473,2020-03-12,Schweineleber in Rahmsoße mit Stampfkartoffeln und Tomatensalat,2.1,0
1474,2020-03-12,"Reispfanne """"""""Spanische Art"""""""" mit Shrimps, Tomaten, Paprika und gegrillter Hähnchenkeule",2.7,0
1475,2020-03-12,"Tomatensuppe, Kartoffelpuffer mit Apfelmus und Sahnetupfer",1.85,1
1476,2020-03-12,"Schweinesteak """"""""Au four"""""""" mit Reibekäse überbacken an Fingermöhren und Pommes frites",3.1,0
1477,2020-03-12,Steckrübensuppe,0.5,1
1478,2020-03-12,italienische Putensuppe,1.3,0
1547,2020-03-12,Minestrone,0.5,1
1548,2020-03-12,Bolognesesuppe,0.9,0
1657,2020-03-13,Süßkartoffel-Kokos-Soja-Curry mit Tomatenbulgur,1.6,1
1658,2020-03-13,Schweineleber in Rahmsoße mit Stampfkartoffeln und Tomatensalat,2.1,0
1659,2020-03-13,"Reispfanne """"""""Spanische Art"""""""" mit Shrimps, Tomaten, Paprika und gegrillter Hähnchenkeule",3.1,0
1660,2020-03-13,"Tomatensuppe, Kartoffelpuffer mit Apfelmus und Sahnetupfer",1.85,1
1661,2020-03-13,"Schweinesteak """"""""Au four"""""""" mit Reibekäse überbacken an Fingermöhren und Pommes frites",3.6,0
1662,2020-03-13,Minestrone,0.5,1
1663,2020-03-13,Bolognesesuppe,0.9,0
1666,2020-03-13,"""""""""Borschtsch""""",1.85,0
1667,2020-03-13,Gedünsteter Seelachs mit Meerretich Dip auf Gemüsebett und Basmatireis,2.4,0
1668,2020-03-13,"Gefüllte Paprikaschote mit Tomatensoße und Kräuterreis, dazu Gurkensalat",1.85,0
1669,2020-03-13,Broccoli-Nuggets auf Lauch-Rahmsoße mit Petersilienkartoffeln,1.6,1
1670,2020-03-13,"Putensteak mit Rahm-Champignons, buntem Gemüse und Pommes frites",3.6,0
1671,2020-03-13,Champignon-Lauchsuppe,1.3,1
1672,2020-03-13,Kartoffelsuppe,0.5,1
1731,2020-03-13,Gedünsteter Seelachs mit Kräuter-Zitronen Dip auf Gemüsebett und Jasminreis,3.1,0
1742,2020-03-13,rote Linsensuppe,0.9,1
1743,2020-03-13,Schweinefleischsuppe,1.3,0
1801,2020-03-13,"Hähnchenschnitzel mit Rahm-Champignons, buntem Gemüse und Pommes frites",2.7,0
1887,2020-03-14,"""""""""Borschtsch""""",1.85,0
1888,2020-03-14,Gedünsteter Seelachs mit Kräuter-Zitronen Dip auf Gemüsebett und Jasminreis,3.1,0
1889,2020-03-14,"Gefüllte Paprikaschote mit Tomatensoße und Kräuterreis, dazu Gurkensalat",1.85,0
1890,2020-03-14,Broccoli-Nuggets auf Lauch-Rahmsoße mit Petersilienkartoffeln,1.6,1
